Date,ABBN.SW,ABI.BR,ADS.DE,ADYEN.AS,AI.PA,AIR.PA,ALV.DE,ASML.AS,AZN.L,BAS.DE,BATS.L,BAYN.DE,BHP.L,BNP.PA,BP.L,CS.PA,DG.PA,DGE.L,DTE.DE,ENEL.MI,GSK.L,HSBA.L,IBE.MC,ISP.MI,KER.PA,LIN.DE,LOR.F,MBG.DE,MOH.F,NESN.SW,NG.L,NOVN.SW,NOVO-B.CO,PRU.L,PRX.AS,REL.L,RIO.L,RKT.L,ROG.SW,SAF.PA,SAN.PA,SAP.DE,SHEL.L,SIE.DE,SU.PA,TTE.PA,UBSG.SW,ULVR.L,VOD.L,ZURN.SW
2019-09-11,17.634828567504883,77.2183609008789,257.5923767089844,620.0,107.49615478515625,117.89592742919922,178.28408813476562,215.4041290283203,6438.48193359375,50.150718688964844,2481.76611328125,61.48565673828125,1698.14501953125,35.04960250854492,434.22314453125,17.375850677490234,88.93082427978516,3180.134033203125,12.810129165649414,5.628389358520508,1433.97705078125,556.2006225585938,8.361294746398926,1.600730299949646,437.0738830566406,162.01275634765625,233.6385040283203,40.375282287597656,360.2892150878906,101.6673583984375,731.8630981445312,78.32624053955078,325.71722412109375,1186.0538330078125,73.95297241210938,1753.76318359375,3837.8740234375,5958.39404296875,248.2412109375,138.767578125,71.08847045898438,103.67189025878906,2038.0400390625,89.0780258178711,74.13689422607422,38.97975158691406,9.392241477966309,4507.44775390625,134.00196838378906,322.3492126464844
2019-09-12,17.687602996826172,79.46955871582031,262.6871032714844,637.7999877929688,109.593017578125,119.1560287475586,179.52276611328125,218.1332244873047,6426.3818359375,49.956817626953125,2506.233154296875,60.60347366333008,1723.7557373046875,34.998172760009766,427.3549499511719,17.352636337280273,90.17052459716797,3198.103515625,12.883135795593262,5.777792930603027,1444.4056396484375,556.822998046875,8.464967727661133,1.6117409467697144,441.4212341308594,165.4984588623047,234.3946075439453,40.87162780761719,364.1846923828125,102.13167572021484,737.0015258789062,78.38859558105469,325.38446044921875,1190.028564453125,72.01917266845703,1775.3160400390625,3876.802734375,5976.08837890625,246.45465087890625,141.508056640625,71.63626098632812,103.86186981201172,2024.3385009765625,88.47422790527344,74.71231842041016,38.512603759765625,9.310283660888672,4544.23388671875,135.67066955566406,324.72943115234375
2019-09-13,17.81073760986328,78.82764434814453,259.5445556640625,625.4000244140625,108.523193359375,119.80517578125,181.1031494140625,220.86233520507812,6373.9658203125,50.99612808227539,2444.10302734375,60.64802551269531,1754.9090576171875,35.88430404663086,427.36090087890625,17.59251594543457,89.5871353149414,3102.58154296875,12.8491792678833,5.7594451904296875,1427.3372802734375,557.9149780273438,8.37584400177002,1.6569228172302246,438.102294921875,166.93093872070312,230.9921112060547,41.53913116455078,363.3771057128906,98.6771469116211,733.9893798828125,77.19495391845703,320.0604248046875,1200.4613037109375,73.66389465332031,1737.3641357421875,3946.800048828125,5837.32666015625,250.3942413330078,143.30181884765625,71.42073059082031,102.47502136230469,2017.708251953125,88.66634368896484,76.1416015625,38.57048034667969,9.527469635009766,4460.21630859375,136.04150390625,323.45428466796875
2019-09-16,17.749170303344727,78.63777923583984,255.6878204345703,620.4000244140625,107.88129425048828,115.73847198486328,179.65090942382812,218.1819610595703,6323.06103515625,50.934078216552734,2368.402099609375,60.47872543334961,1743.2503662109375,35.279048919677734,444.82220458984375,17.480314254760742,88.49327850341797,3060.9677734375,12.845784187316895,5.663337707519531,1414.1617431640625,550.0650024414062,8.326735496520996,1.627687692642212,433.1004943847656,164.0182342529297,231.3701629638672,41.11980056762695,350.122802734375,97.74850463867188,737.887451171875,76.47341918945312,317.5410461425781,1176.5145263671875,70.2647933959961,1717.685302734375,3877.250244140625,5792.62451171875,250.07359313964844,139.71429443359375,71.02559661865234,101.1451644897461,2060.58154296875,88.46508026123047,74.76800537109375,39.53369903564453,9.437317848205566,4404.810546875,134.0525360107422,323.1142578125
2019-09-17,17.731578826904297,79.03558349609375,257.8780822753906,632.0,109.50743865966797,116.4258041381836,179.1383514404297,217.64590454101562,6414.28173828125,49.85598373413086,2405.918701171875,59.569801330566406,1714.9639892578125,34.713348388671875,438.3779602050781,17.44936180114746,89.44129180908203,3100.68994140625,12.847482681274414,5.693917751312256,1430.3265380859375,544.1962280273438,8.430411338806152,1.6136394739151,431.13714599609375,166.40570068359375,232.7878875732422,40.40951156616211,350.5978698730469,99.27146911621094,747.2781982421875,76.5179672241211,327.3334655761719,1163.00048828125,69.07859802246094,1767.3509521484375,3815.05322265625,5854.08935546875,255.6623077392578,141.6077117919922,71.84281921386719,102.83599090576172,2063.676025390625,88.74868774414062,74.48957824707031,39.5667724609375,9.261110305786133,4484.740234375,132.40069580078125,319.5439453125
2019-09-18,17.722782135009766,79.23448944091797,260.4016418457031,638.0,109.72139739990234,117.24678039550781,179.4800567626953,220.3262481689453,6466.40673828125,49.654327392578125,2414.8896484375,58.9905891418457,1715.9195556640625,34.65796661376953,436.7669677734375,17.51513671875,89.78768157958984,3092.177978515625,12.908604621887207,5.810120105743408,1431.3697509765625,542.06201171875,8.475881576538086,1.614398717880249,432.259033203125,167.0264129638672,233.1659393310547,40.529319763183594,348.7926330566406,99.3086166381836,750.0245361328125,76.41107177734375,328.7120056152344,1166.18017578125,67.48369598388672,1761.7283935546875,3815.5009765625,5855.02099609375,257.9527893066406,141.35858154296875,72.0403823852539,103.06396484375,2066.3271484375,88.33699798583984,74.74944305419922,39.70320129394531,9.293892860412598,4477.02001953125,131.64218139648438,321.3291015625
2019-09-19,17.696395874023438,78.11341094970703,261.8776550292969,634.4000244140625,111.26194763183594,118.4496078491211,180.9322967529297,222.2268829345703,6633.95458984375,49.57676315307617,2415.297607421875,59.61435317993164,1713.052734375,35.4056396484375,438.2932434082031,17.724063873291016,89.96998596191406,3086.50341796875,12.944258689880371,5.779539585113525,1440.755615234375,547.7530517578125,8.486795425415039,1.6432543992996216,432.5395202636719,168.93638610839844,234.0165557861328,40.58494567871094,348.98260498046875,99.5686264038086,754.0997924804688,76.5001449584961,332.2296447753906,1168.1676025390625,68.58019256591797,1780.4700927734375,3802.971923828125,5868.05908203125,259.2812805175781,141.9564971923828,73.1180191040039,103.63389587402344,2071.189208984375,89.16950988769531,75.36199188232422,39.82309341430664,9.425024032592773,4468.84521484375,135.18185424804688,324.2193603515625
2019-09-20,17.65241813659668,79.62324523925781,261.6396179199219,639.0,111.94664001464844,114.65019989013672,181.0604248046875,220.3262481689453,6671.1875,49.553497314453125,2379.412841796875,59.90842056274414,1709.42138671875,35.83683395385742,441.7696838378906,18.0993595123291,89.91529846191406,3047.25390625,13.054616928100586,5.7454657554626465,1452.7489013671875,547.3973388671875,8.432229042053223,1.6447731256484985,438.42950439453125,169.79588317871094,235.24525451660156,40.516483306884766,349.5052490234375,98.6771469116211,754.3656005859375,76.83865356445312,340.8337097167969,1165.3853759765625,69.4474105834961,1740.643798828125,3788.20556640625,5830.80712890625,261.1594543457031,141.80702209472656,74.82428741455078,104.35582733154297,2071.63134765625,89.66352844238281,74.73088836669922,40.91033935546875,9.363555908203125,4355.30712890625,134.4402313232422,322.9442443847656
2019-09-23,17.32259178161621,79.08079528808594,259.4017333984375,623.2000122070312,111.34754180908203,114.36382293701172,180.46246337890625,219.59523010253906,6673.97998046875,49.18896484375,2352.091064453125,58.678707122802734,1683.0460205078125,34.820159912109375,439.98907470703125,17.91751480102539,89.05844116210938,3071.37109375,13.093667030334473,5.82846736907959,1465.08984375,544.9965209960938,8.503165245056152,1.625409483909607,424.68621826171875,167.50392150878906,234.9617156982422,39.57085418701172,348.8876953125,99.47577667236328,762.1617431640625,76.29527282714844,342.449951171875,1146.7042236328125,69.72650909423828,1761.2598876953125,3798.944580078125,5860.60888671875,259.18963623046875,140.61117553710938,75.15656280517578,102.70301055908203,2080.4716796875,88.40104675292969,73.15310668945312,40.23649215698242,9.191447257995605,4421.15966796875,134.81103515625,322.4341735839844
2019-09-24,17.120298385620117,77.15507507324219,260.83013916015625,617.5999755859375,111.30474090576172,113.4092025756836,179.35189819335938,219.44903564453125,6743.79150390625,48.08760070800781,2309.681640625,58.77672576904297,1634.8826904296875,34.602577209472656,433.37530517578125,17.77436065673828,89.96998596191406,3082.72021484375,13.017264366149902,5.913217067718506,1477.4306640625,543.5737915039062,8.581377029418945,1.617436408996582,428.4726257324219,167.69493103027344,235.7178192138672,38.907630920410156,351.0254821777344,100.47869873046875,768.894775390625,76.33090209960938,342.6400451660156,1128.81787109375,68.58019256591797,1774.8477783203125,3703.18798828125,5923.0048828125,259.6019287109375,141.0596160888672,76.41381072998047,102.94996643066406,2061.0234375,87.35811614990234,72.72618103027344,39.475826263427734,9.166860580444336,4454.7666015625,134.8953094482422,318.35382080078125
