,ABBN.SW,ABI.BR,ADS.DE,ADYEN.AS,AI.PA,AIR.PA,ALV.DE,ASML.AS,AZN.L,BAS.DE,BATS.L,BAYN.DE,BHP.L,BNP.PA,BP.L,CS.PA,DG.PA,DGE.L,DTE.DE,ENEL.MI,GSK.L,HSBA.L,IBE.MC,ISP.MI,KER.PA,LIN.DE,LOR.F,MBG.DE,MOH.F,NESN.SW,NG.L,NOVN.SW,NOVO-B.CO,PRU.L,PRX.AS,REL.L,RIO.L,RKT.L,ROG.SW,SAF.PA,SAN.PA,SAP.DE,SHEL.L,SIE.DE,SU.PA,TTE.PA,UBSG.SW,ULVR.L,VOD.L,ZURN.SW
AIR.PA,1.158384475706346,1.0670494216290352,1.2002808688428195,2.0036516411807264,1.2392964437374596,1.0,1.1885045045659246,1.4853688407087593,3.0283636239392333,1.2744368925943097,1.041179233150406,0.9922245053846447,0.5266319663661233,1.0418546712267527,0.6283603233656166,1.2160807565079723,1.0583064047567148,0.9040516708545295,1.2423063733744493,1.4380198368125905,1.3138483490124202,1.4282701576208072,1.239708153127096,1.3182483676550876,1.1690642251032854,1.2864700664206565,1.6462332067896623,1.195404221108022,1.2414994095928746,1.2937975276558578,0.5875592479253565,0.9782052495887924,1.575934421156793,1.0635078329744394,1.9043708102286676,0.8448842236867445,0.7119939800735203,-31.92251052349816,0.8137694991241176,1.035761615737621,1.7256681201117288,1.6433417103737333,0.5961057508951904,1.352501119507672,1.3186978592838972,0.9675645204210213,1.332084643300504,1.7620996335820251,0.6843026218344361,0.9072776087702955
ALV.DE,0.8026156882972465,0.9657707247125364,1.2794945259693384,1.786926572393194,0.820636334862839,1.1885045045659246,1.0,1.2035352874879135,1.822866927437295,1.001339247706376,0.9168793558209398,0.6371298431679364,0.3287186363828133,0.928192685688513,0.534161164627425,0.9826085551061077,0.9849006836096049,0.8671672833217146,0.9916450539447789,0.9450025930174429,1.1831406298925693,1.1066148723809175,0.8511376128813786,1.128118724256546,0.9735120162810641,0.9089589052213002,1.1351197613564232,0.8382900870782168,0.9586905903075489,1.2056619330984715,0.6313776929630166,0.860499412290891,1.7312637340531516,0.8767959131654302,1.4728221559710235,0.5039483768755784,0.4553285832015985,2.4866395830579267,0.2138752520195965,0.9853482277629105,1.3523719672688435,1.1065993309540254,0.32092728676686766,0.9791634362383174,0.9713673791716964,0.7162835751052494,0.9967604248332751,0.852301992045428,0.6904085238332774,0.8102295179668351
ASML.AS,1.0991533832536222,1.3716355778418603,1.2339093452900423,1.2887314800766942,1.0493047557191337,1.4853688407087593,1.2035352874879135,1.0,1.4030914437373327,1.1945188295309435,1.1170999858280892,0.8202667032075014,0.8910843277912924,1.4783822200273125,0.8912514828598808,1.1967989156977794,1.0568342377418918,1.1790457302518493,1.1835049925727734,1.104265690805296,0.9934170937994182,1.7179909962077222,1.0822120808703728,1.6028992587702668,1.4075300969938829,1.2745073853875464,1.5278961629459875,1.2000107041118044,1.1403658398494698,1.2675164803418189,0.9522513530885784,0.4405587397013844,0.9783842151485302,1.435002228603799,1.214053053394883,1.178880555794362,0.7335077309610822,3.8141410350678333,0.5494345810358782,1.4708425552354631,0.5047052246615198,1.3405606700553927,0.7769081485620138,1.2559447797441325,1.214503913212636,0.8436358471795183,1.290537811680029,0.40972953254297406,0.8810767357654268,0.8740125094972678
AZN.L,1.7719878731727172,2.0948987336184923,1.8636575515472045,1.8024570012686185,1.4400270976420702,3.0283636239392333,1.822866927437295,1.4030914437373327,1.0,1.9560933548335355,1.0028605917414022,1.6134819244836471,1.3702512064926076,4.159275118015818,2.098813701467945,1.562453454204586,1.2429346845436335,1.4382916080522483,1.3810174089360856,0.9964545704537429,1.1147670582688098,2.9359986161787126,1.144323371304973,2.5440628997240995,1.9911131369451112,1.4289292787909316,0.8501921523972044,1.3078695453266775,1.3874330336215261,1.037534900647118,1.197126108030847,1.0492949686014887,0.943841597177155,2.014450434758899,0.572832743043244,1.0630731157955697,1.7752470929280384,0.5488110133724384,1.1266187408671633,2.271199571311562,0.9846083466338151,1.2012669350520857,1.6351859010200043,1.6657826350421285,1.3241283510070865,1.6668098362232373,1.9273112359478055,0.31734399691242676,0.9140462228336156,1.564969859788103
BAS.DE,0.7678980987715973,1.019375801530479,1.6136593264858756,3.498276640878787,0.8388083919095419,1.2744368925943097,1.001339247706376,1.1945188295309435,1.9560933548335355,1.0,0.8881194228666469,0.7946470633664267,0.03837246763487971,1.1078936926406,0.4144338791451209,1.19588446027549,1.159149247722451,0.8098280254963666,1.1553511390674238,1.097832500730732,0.9709603791289327,1.1471957993051567,0.8928848314279283,1.2564012065820138,1.174243051939002,0.8006693164845889,1.3298189133585205,0.9715564956028094,1.2521599657159657,0.9846117105154333,0.34826404285723594,0.5916442157556302,1.0638793980465358,1.0441001254710691,1.9279702129062903,0.5533965308788426,0.20699494138888627,5.124944994968155,0.17120673752266716,1.3294798294256323,0.8600871376978503,0.9440381707958045,0.17800737779639086,1.097995145171635,1.0170887754695779,0.6984070790603983,1.0185086040596443,1.074859762848541,0.701270880654492,0.8503771480664171
BATS.L,0.37249383614015474,1.0623354388414423,1.0635095951446232,1.5281187966387535,0.946713085738839,1.041179233150406,0.9168793558209398,1.1170999858280892,1.0028605917414022,0.8881194228666469,1.0,0.7226069853367528,0.513924546530593,0.6117408280307519,0.9059191152909916,0.7438560717999922,0.8923424153543894,0.8431364388509489,1.077047235091562,0.8552133725121316,1.0657036960045896,1.627086749000531,0.5648058413304368,1.0943403834727135,1.0333143269697254,0.7725394469283726,0.43243689726459716,0.9891868330132787,1.2817904873616541,0.8343573445949858,0.8283911568460683,0.6197033520139263,-0.27962289368878074,0.9011598089597868,0.9659192022100795,0.728802018682077,0.8478399755913283,0.8635998749237607,0.5202606335907032,0.8659923235668195,0.8170268566280283,0.5597542587078936,0.6500366208301604,0.7647836209753873,0.3964483299600271,1.0753265266250043,0.9757697896283415,0.5685058650159152,0.9374769363097549,0.7912994319425994
BAYN.DE,0.6910591549297539,0.9164352110349399,0.9401530938761288,1.6092200746783276,1.0159215066941067,0.9922245053846447,0.6371298431679364,0.8202667032075014,1.6134819244836471,0.7946470633664267,0.7226069853367528,1.0,0.2693563216208542,0.7542504347501103,0.4472731096843493,0.8951140830081975,0.6644130496042429,0.664014648082391,0.9146151921334195,0.4905183758815273,1.0131293983501795,1.0384569250271893,0.2912481988326501,0.8475053143939485,0.8094619468211949,0.7419565910778552,0.8158412324473218,0.39615875514839605,0.9394004128289302,0.7520051727106175,0.5229249256646866,0.8767880706913452,1.308768049780389,0.6611440477503664,1.1849623958711029,0.643025630425806,0.4063956959063937,0.4237022022887361,1.285933989190804,0.9342505543724409,0.8883503792986244,1.048197271951529,0.22601974179605247,0.8077086406416712,0.7719632247370595,0.5761160805943774,0.9181068196924418,0.46099393397672705,0.6112355868465699,0.7893757396584523
BHP.L,0.6395084612410816,0.3758192551703316,0.4940535262698694,0.7930436036472787,0.6073250213610907,0.5266319663661233,0.3287186363828133,0.8910843277912924,1.3702512064926076,0.03837246763487971,0.513924546530593,0.2693563216208542,1.0,0.10660642601967828,0.8178137858009751,0.21708210563708477,-0.0031812890249681963,0.48349033671568514,0.45510719764236907,0.21095143723208074,0.9369196669134038,0.5977434871292144,0.24619307433135892,0.1650512205821049,0.5592616641929494,0.5982963547631516,0.5273327603152517,0.05915739956557699,0.42067533505111465,0.311613961513339,0.6404773584878999,0.43049029024288826,1.6054242828444762,0.7596165584406449,0.7542500317222924,0.6596841998854229,0.9958149970932386,-0.21546311573347027,0.7042639371651953,0.3901258120410076,0.6706480329050057,0.5125742078606643,0.8636390731520107,0.36973971474891026,0.4515684644212358,0.6645821890219639,0.4377767640341394,-0.318968383594615,0.3668868045804089,0.4387324552149931
BNP.PA,0.9069940565231336,0.9219759083719153,1.3847960631312606,2.8337625143464957,0.8779906208488909,1.0418546712267527,0.928192685688513,1.4783822200273125,4.159275118015818,1.1078936926406,0.6117408280307519,0.7542504347501103,0.10660642601967828,1.0,0.4694083238075183,1.1015592474829403,1.0815014475717917,0.8536626024277346,1.1343628257204241,1.1553300376537134,1.1912533223550532,1.037373726753399,0.6357651707928962,1.2448149967531619,1.0887403373355697,0.9309213936669878,1.209893510042194,0.9052628662223781,0.963857308078655,1.2521025680603288,0.12426628791395487,0.7637434149582782,-22.728303350914487,0.9560754376716167,2.4382459178156553,0.5726175665513166,0.24945332669105422,-414.23019615505734,0.21549747862860047,1.0325546010762485,1.481633221067079,1.2750658591463688,0.18782950998911196,1.106223903600587,1.1056483028939055,0.6488545992848408,0.9651333217196231,1.3303813398362314,0.6824103539494137,0.6647288586176205
BP.L,0.6137773489014734,0.40031404273782123,0.8038889408432127,9.047434742455044,0.5954676246697682,0.6283603233656166,0.534161164627425,0.8912514828598808,2.098813701467945,0.4144338791451209,0.9059191152909916,0.4472731096843493,0.8178137858009751,0.4694083238075183,1.0,0.4914952954280908,0.39975633128364896,0.46183582981218174,0.7501226013603106,0.6005359860500644,1.3336974045983898,0.8802073626762958,0.6147957855794366,0.4890694929004924,0.6167274923413625,0.5667539895598468,0.3385509680617757,0.5326056935101126,0.3949355173694879,0.3776445980209156,0.9217608494179169,0.9886276881897791,0.07886748742303677,0.5922280680832891,0.6928754000151788,0.34653386841142275,0.9319632951580116,-0.3201349847018723,0.5257106532934799,0.5042849206683424,1.3667803129021536,0.8699539575715858,0.9371015754511554,0.4306723105687846,0.5165201927482894,0.9078093768511534,0.7482160058762314,-0.020809923560411305,0.448101322791814,0.5683278328984143
