Date,strategy_gross,long_gross,short_gross,benchmark_gross,benchmark_net
2022-01-04,1.0000000000000002,0.9999999999999999,0.9999999999999998,1.0,1.0
2022-01-05,1.0111344656589667,1.0061277443002996,0.9985114688348286,1.000253700116009,1.000253700116009
2022-01-06,1.016674264601723,1.0051055710073287,0.987507156620233,0.9883278587603733,0.9883278587603734
2022-01-07,1.0223127099883984,1.010957318179594,0.9936833806387119,0.9871859662504313,0.9871859662504315
2022-01-10,1.0323807141341208,1.0162394582028138,0.9916852154709516,0.9750063279836261,0.9750063279836261
2022-01-12,1.0653583844460814,1.0355310008215302,0.9901572814101984,0.9911190440122754,0.9911190440122756
2022-01-13,1.0685008428371854,1.0436028654172556,1.0057278088725152,0.9904846485295121,0.9904846485295121
2022-01-14,1.073749699419387,1.0463836495959566,1.0047541362026746,0.9832529852837477,0.9832529852837477
2022-01-17,1.0957445814472058,1.0612559080571677,1.0087913872340757,0.9917533426998781,0.9917533426998784
2022-01-18,1.1016143256542807,1.0606056376193846,0.9982228041887444,0.983887380766511,0.9838873807665112
2022-01-19,1.0947033609117913,1.0556687070708488,0.9962887945384091,0.9864247691072435,0.9864247691072437
2022-01-20,1.085214991586406,1.053899718449587,1.0062626063755102,0.9916265410394541,0.9916265410394542
2022-01-21,1.0801373092570137,1.0459377505842518,0.9939130340103188,0.9774169146639343,0.9774169146639344
2022-01-24,1.0821940458350041,1.0279582997937107,0.9454543311614676,0.9416391970067063,0.9416391970067065
2022-01-25,1.095475835435214,1.0375367411344105,0.949399201454684,0.9502664528784218,0.9502664528784219
2022-01-26,1.1138414123700573,1.0568246472071532,0.9700901639950913,0.9658715750847322,0.9658715750847319
2022-01-27,1.1429653778746316,1.075482177012233,0.9728260453363511,0.9760213220379834,0.9760213220379834
2022-01-28,1.1491232794397448,1.068144911361328,0.9449597940266231,0.9657447734243079,0.9657447734243079
2022-01-31,1.135735668189065,1.0645673905389026,0.9563054825642384,0.9696777543909916,0.9696777543909915
2022-02-01,1.1352275442343307,1.0715868804001758,0.9747760551427775,0.9832529852837477,0.9832529852837477
2022-02-02,1.1410628491340071,1.0736708818951042,0.9711535357354271,0.9841410808825202,0.9841410808825202
2022-02-03,1.1525572286592671,1.0708201888721076,0.9464809724159006,0.9659984735403169,0.9659984735403169
2022-02-04,1.14086944683379,1.0579219382710965,0.9317413443991366,0.9563562236142441,0.956356223614244
2022-02-07,1.1355065000191116,1.0592007341698098,0.9431236268816224,0.9643491807983567,0.9643491807983569
2022-02-08,1.148345736170507,1.069954082536632,0.9507039015302777,0.964475982458781,0.964475982458781
2022-02-09,1.1613185632854846,1.0827851286304333,0.9633192688922906,0.9794468059774883,0.9794468059774881
2022-02-10,1.1529351086001303,1.0832944421584707,0.977356351894964,0.977924411691113,0.9779244116911131
2022-02-11,1.1592557110422674,1.0842026553482076,0.9700311834923188,0.9730306996044868,0.9713270471329517
2022-02-14,1.140784374734155,1.0644740565496102,0.9483900242027392,0.95561890036414,0.9539457337290965
2022-02-15,1.1556312783872387,1.0816706742290885,0.9691610507634156,0.9695992075607117,0.9679015631934466
2022-02-16,1.1418400287066317,1.0771415370987856,0.9787215334704938,0.9702346187721859,0.9685358618810493
2022-02-17,1.1304326022679245,1.0655625244759965,0.9668815021988894,0.9660405944886681,0.9643491807983569
2022-02-18,1.1244003908121034,1.0586366205829767,0.9585961042786401,0.9605755538523343,0.9588937087501374
2022-02-21,1.1148029875708894,1.043597427122853,0.9352788041767757,0.9496454725796665,0.9479827646536984
2022-02-22,1.103581942198778,1.041409408153624,0.9468319168669168,0.9487558193116556,0.9470946690549259
2022-02-23,1.097317683145968,1.037117919446523,0.9455414264792104,0.947611923987108,0.945952776544984
2022-02-24,1.040359749464358,0.9918906721208203,0.9181590185774106,0.9172364948815348,0.9156305309359754
2022-02-25,1.045703360231519,1.016683034734825,0.9725370203580008,0.9481203111352476,0.9464602735721624
2022-02-28,1.0190662057864976,0.9918104412295102,0.950348694905501,0.9418927382591712,0.9402436043807554
2022-03-01,0.9997314092127778,0.9558028774949576,0.8889783481495309,0.9243538179905559,0.9227353925213155
2022-03-02,1.010670902092098,0.9726768947796186,0.9148800243330429,0.9354109233265582,0.9337731382781786
2022-03-03,0.9920303943097074,0.9524120994028894,0.8921443461435099,0.9195241885656962,0.9179142191606988
2022-03-04,0.9490527952606257,0.9096757169415559,0.8497749048094166,0.8864797996560905,0.884927686755373
2022-03-07,0.9443648607069028,0.897065491253447,0.8251132092521698,0.8785999443073268,0.8770616280268452
2022-03-08,0.9646383481659246,0.9075867296366578,0.8207992271291127,0.8778374120675843,0.8763004308836575
2022-03-09,0.9990159424781493,0.9552109320741844,0.8885743046080083,0.9177448820296745,0.9161380279631539
2022-03-11,0.9799539872503654,0.9377416408652542,0.8735277901071403,0.9069419217852753,0.9053539823222998
2022-03-14,1.000638021604351,0.9516405769504663,0.8771051656793402,0.913932123866028,0.9123319454520552
2022-03-15,1.0149292122489182,0.9548116768380042,0.8633602703797343,0.9145675350775021,0.912966244139658
2022-03-16,1.011582646186519,0.9694830132467749,0.9054406233284161,0.9385882702787305,0.9369449221016746
2022-03-17,1.0109577613797076,0.9691399648360837,0.905526307310697,0.9459597384793544,0.9443034838030238
2022-03-18,1.0058054239699894,0.9685255495750598,0.911815025387719,0.9530769646234419,0.9514082485932034
2022-03-21,1.0213902630775153,0.9739130144010064,0.9016901407160098,0.954983392187732,0.9533113382463331
2022-03-22,1.034265310769911,0.9870865082867564,0.9153176339872602,0.9641341669243779,0.9624460911452271
