Date,strategy_net,strategy_gross,benchmark_gross,benchmark_net
2019-09-11,1.0000000000000002,1.0000000000000002,1.0,1.0
2019-09-12,0.9989593030274129,0.9989592989556411,1.0015306669419615,1.0015306669419617
2019-09-13,1.0003351662548925,1.0003351679657908,1.001836753617393,1.0018367536173933
2019-09-16,1.0011785829992441,1.0011785282856764,0.9960201725249777,0.996020172524978
2019-09-17,0.9967139943269054,0.996714030516163,0.9977039411958561,0.9977039411958565
2019-09-18,1.0015491047322849,1.0015490978057913,0.9963262592004095,0.9963262592004096
2019-09-19,1.0125306233839761,1.0125305957522384,1.0041328124215365,1.0041328124215367
2019-09-20,1.0161811049278768,1.016181089973564,1.0088780317587405,1.0088780317587407
2019-09-23,1.0158511079389672,1.0158510763203863,1.0042859141504532,1.0042859141504537
2019-09-24,1.0109707207889045,1.010970649599299,1.0033675373417568,1.003367537341757
2019-09-25,1.0119814528114266,1.0119813849747037,0.9993877098667346,0.999387709866735
2019-09-26,1.0177347897297337,1.0177347871894753,1.007194263087862,1.007194263087862
2019-09-27,1.0255957817517258,1.0283519542447788,1.011020988833967,1.0110209888339674
2019-09-30,1.0393660561030387,1.042139322443185,1.0148477145800725,1.0148477145800727
2019-10-01,1.0348005177984,1.037542135566799,1.0006122901332648,1.000612290133265
2019-10-02,1.0088448930043499,1.011477452968125,0.9721413828484488,0.9721413828484489
2019-10-04,1.0017823967169488,1.0043885552928342,0.9816316463492534,0.9816316463492537
2019-10-07,1.0130610390945936,1.0156795708846422,0.989285097841464,0.9892850978414641
2019-10-08,1.0050284742143962,1.0076039839141633,0.9787233558030458,0.9787233558030459
2019-10-09,1.007578108923344,1.0101773518329715,0.9842339086112305,0.9842339086112307
2019-10-10,1.0133578196748454,1.0159810892663934,0.991121968241259,0.9911219682412593
2019-10-11,1.022412982526746,1.025101090184904,1.0075003497632935,1.0075003497632937
2019-10-14,1.0256699843218413,1.0283248513491945,1.0027552472084915,1.002755247208492
2019-10-15,1.0331064645858294,1.0357968784169038,1.0096433068385202,1.0096433068385204
2019-10-16,1.0407120088156048,1.0433995079203418,1.0090310167052552,1.0090310167052554
2019-10-17,1.0377246529073705,1.040401128998785,1.0068880596300285,1.0068880596300287
2019-10-18,1.0377705541911348,1.0404540655442664,1.0032144356128398,1.00321443561284
2019-10-21,1.0438934576651604,1.046585424974949,1.0090310167052552,1.0090310167052554
2019-10-22,1.049604688818786,1.0523374073947913,1.0128577424513605,1.0128577424513607
2019-10-23,1.0554514085028828,1.0581918894076034,1.0146946128511556,1.014694612851156
2019-10-24,1.0742171121989248,1.0769680970793858,1.024491021418593,1.0244910214185932
2019-10-25,1.091042660703151,1.0938049349187617,1.0249502098229413,1.0249502098229415
2019-10-28,1.0945522290342222,1.0973234758056873,1.0246441231475099,1.0246441231475099
2019-10-29,1.0915446943642844,1.094305462805011,1.0240318330142446,1.0240318330142448
2019-10-30,1.0874517267232946,1.0902122660430345,1.0272462686270847,1.0272462686270851
2019-10-31,1.0819694907558874,1.084699304637654,1.0209703823479193,1.0209703823479195
2019-11-01,1.0911166224527864,1.0938820254336983,1.0254093982272896,1.0254093982272898
2019-11-04,1.1046485414731286,1.1073607907833602,1.035818096927992,1.0358180969279922
2019-11-05,1.1067599290856829,1.1095172423799649,1.037042677194522,1.0370426771945223
2019-11-06,1.1081710491908328,1.11093093231978,1.0414816930738924,1.0414816930738926
2019-11-07,1.1191199188579073,1.121895029044562,1.0434715484202024,1.0434715484202026
2019-11-08,1.1248014453460686,1.1275600627934044,1.0428592582869374,1.0428592582869376
2019-11-11,1.1232073982701105,1.1259726804075418,1.0422469681536723,1.0422469681536726
2019-11-12,1.1307803277091193,1.1335468583815704,1.047145289219793,1.0471452892197932
2019-11-13,1.1227954448256592,1.1255597160528317,1.046379897357611,1.0463798973576113
2019-11-14,1.1161312027887407,1.1216437862391837,1.040018515703381,1.035971198656909
2019-11-15,1.1143324936282473,1.1198554609580469,1.0417088624969455,1.0376549673277875
2019-11-18,1.1174234291700522,1.122955465763032,1.0426308272066551,1.0385733441364842
2019-11-19,1.1145206653315762,1.1179775117302446,1.0404794980582357,1.0364303870612572
2019-11-20,1.1088662066457189,1.1122955389498566,1.0354084576775422,1.0313790810486219
2019-11-21,1.1179515185214215,1.1214020792470014,1.0335645282581232,1.0295423274312285
2019-11-22,1.1185444227124388,1.1220155605011841,1.0375597868259614,1.0335220381238486
2019-11-25,1.1209244569890844,1.1243873806393747,1.0477018675873486,1.0436246501491195
2019-11-26,1.1164740644956013,1.1199375544593133,1.046011520793784,1.041940881478241
2019-11-27,1.1180308681509865,1.1215097292703289,1.0496994968712676,1.0456145054954296
2019-11-28,1.115791630495286,1.1199922898855457,1.048623832297058,1.0445430269578162
2019-11-29,1.1083986622225037,1.1125494634425714,1.0449358562195743,1.0408694029406276
2019-12-02,1.0948250284558296,1.0988994896519897,1.0271104235742199,1.0231133394231464
2019-12-03,1.089506254362692,1.0935032035516008,1.0198881712837529,1.015919193117686
2019-12-04,1.1025939288035538,1.1066261869787555,1.0320278813290589,1.0280116604892668
2019-12-05,1.1037710498468092,1.1078424093386694,1.0294154525871393,1.0254093982272898
2019-12-06,1.1141680387510036,1.1181700772639915,1.042784527071155,1.0387264458654009
2019-12-09,1.1093487980883983,1.1133491590840814,1.0389428511291714,1.0348997201192955
2019-12-10,1.114211613201823,1.1182660490392624,1.038020886419462,1.0339813433105989
2019-12-11,1.1142929218172954,1.1183173755024582,1.039864815838881,1.0358180969279922
2019-12-12,1.123534563745475,1.1275926430124705,1.0430918095615098,1.0390325325408323
